"","Name","Year","Rank"
"895","Jenny","1924",NA
"896","Jessica","1924",NA
"897","Jessie","1924",59
"898","Jill","1924",NA
"899","Joan","1924",3
"900","Joanna","1924",NA
"901","Joanne","1924",NA
"902","Jodie","1924",NA
"903","Jordan","1924",NA
"904","Josephine","1924",71
"905","Joy","1924",NA
"906","Joyce","1924",4
"907","Judith","1924",NA
"908","Julia","1924",NA
"909","Julie","1924",NA
"910","June","1924",80
"911","Karen","1924",NA
"912","Kate","1924",NA
"913","Katherine","1924",NA
"914","Kathleen","1924",6
"915","Kathryn","1924",NA
"916","Katie","1924",NA
"917","Katy","1924",NA
"918","Kay","1924",NA
"919","Kayleigh","1924",NA
"920","Keira","1924",NA
"921","Kelly","1924",NA
"922","Kerry","1924",NA
"923","Kiera","1924",NA
"924","Kim","1924",NA
"925","Kimberley","1924",NA
"926","Kirsty","1924",NA
"927","Laura","1924",NA
"928","Lauren","1924",NA
"929","Layla","1924",NA
"930","Leah","1924",NA
"931","Leanne","1924",NA
"932","Lesley","1924",NA
"933","Lexi","1924",NA
"934","Libby","1924",NA
"935","Lilian","1924",25
"936","Lillian","1924",90
"937","Lilly","1924",NA
"938","Lily","1924",47
"939","Linda","1924",NA
"940","Lindsay","1924",NA
"941","Lindsey","1924",NA
"942","Lisa","1924",NA
"943","Lola","1924",NA
"944","Lorraine","1924",NA
"945","Lottie","1924",NA
"946","Louisa","1924",NA
"947","Louise","1924",NA
"948","Lucy","1924",92
"949","Luna","1924",NA
"950","Lydia","1924",NA
"951","Lynda","1924",NA
"952","Lyndsey","1924",NA
"953","Lynn","1924",NA
"954","Lynne","1924",NA
"955","Lynsey","1924",NA
"956","Mabel","1924",64
"957","Maddison","1924",NA
"958","Madeleine","1924",NA
"959","Madison","1924",NA
"960","Maisie","1924",NA
"961","Mandy","1924",NA
"962","Margaret","1924",1
"963","Margery","1924",NA
"964","Maria","1924",66
"965","Marian","1924",NA
"966","Marie","1924",63
"967","Marilyn","1924",NA
"968","Marina","1924",NA
"969","Marion","1924",49
"970","Marjorie","1924",13
"971","Marlene","1924",NA
"972","Martha","1924",NA
"973","Mary","1924",2
"974","Maryam","1924",NA
"975","Matilda","1924",NA
"976","Maud","1924",NA
"977","Maureen","1924",95
"978","Mavis","1924",83
"979","Maxine","1924",NA
"980","May","1924",56
"981","Maya","1924",NA
"982","Megan","1924",NA
"983","Melanie","1924",NA
"984","Melissa","1924",NA
"985","Mia","1924",NA
"986","Michele","1924",NA
"987","Michelle","1924",NA
"988","Mila","1924",NA
"989","Mildred","1924",85
"990","Millicent","1924",NA
"991","Millie","1924",NA
"992","Minnie","1924",NA
"993","Miriam","1924",NA
"994","Mollie","1924",NA
"995","Molly","1924",NA
"996","Monica","1924",87
"997","Morgan","1924",NA
"998","Muriel","1924",33
"999","Nancy","1924",50
"1000","Naomi","1924",NA
"1001","Natalie","1924",NA
"1002","Natasha","1924",NA
"1003","Nellie","1924",68
"1004","Niamh","1924",NA
"1005","Nichola","1924",NA
"1006","Nicola","1924",NA
"1007","Nicole","1924",NA
"1008","Nora","1924",57
"1009","Norah","1924",82
"1010","Norma","1924",NA
"1011","Olive","1924",27
"1012","Olivia","1924",NA
"1013","Paige","1924",NA
"1014","Pamela","1924",60
"1015","Patricia","1924",31
"1016","Paula","1924",NA
"1017","Pauline","1924",75
"1018","Peggy","1924",36
"1019","Penelope","1924",NA
"1020","Phoebe","1924",NA
"1021","Phyllis","1924",24
"1022","Poppy","1924",NA
"1023","Rachael","1924",NA
"1024","Rachel","1924",NA
"1025","Rebecca","1924",NA
"1026","Rebekah","1924",NA
"1027","Rhiannon","1924",NA
"1028","Rita","1924",79
"1029","Robyn","1924",NA
